Price;Beds;Baths;Sq Ft;State;Street;City;Zip;Lot Size;Garage Spots;Walkability
155500.0;2.0;1.5;980.0;;9525 Weldon Cir Unit H313; Fort Lauderdale;FL 33321;;;Car-dependent
183000.0;2.0;2.0;1025.0;;8330 Sands Point Blvd Unit N208; Tamarac;FL 33321;;;Car-dependent
165000.0;2.0;2.0;1092.0;;6100 NW 44th Apt 401 St #2; Other Florida;FL 33319;;;
265000.0;2.0;2.0;1500.0;;7665 Granville Dr #309; Tamarac;FL 33321;;;
149000.0;1.0;1.0;550.0;;7112 Southgate Blvd #7112; Fort Lauderdale;FL 33321;;;
398000.0;3.0;2.0;1439.0;;8207 NW 59th Ct; Tamarac;FL 33321;;;
355000.0;2.0;1.0;1065.0;;6000 NW 68th Ter; Tamarac;FL 33321;;;
339000.0;3.0;2.0;1792.0;;8780 Holly Ct #104; Tamarac;FL 33321;;;
180000.0;2.0;2.0;1092.0;;6100 NW 44th St #403; Lauderhill;FL 33319;;;
89900.0;2.0;2.0;880.0;;6001 NW 61st Ave #111; Tamarac;FL 33319;;;
135000.0;2.0;2.0;880.0;;6090 NW 64th Ave #310; Tamarac;FL 33319;;;
190000.0;3.0;2.0;1163.0;;10597 E Clairmont Cir #212; Tamarac;FL 33321;;;
288000.0;2.0;1.0;1002.0;;4922 NW 52nd St; Tamarac;FL 33319;;;
259900.0;2.0;2.0;1215.0;;9587 Weldon Cir Unit B402; Tamarac;FL 33321;;;
160000.0;2.0;1.0;840.0;;4415 Treehouse Ln Unit C; Tamarac;FL 33319;;;
174999.0;2.0;2.0;1100.0;;5860 NW 44th St #311; Lauderhill;FL 33319;;;
399000.0;2.0;2.5;1381.0;;6008 Harbor Isle Way; Tamarac;FL 33321;;;
390000.0;2.0;1.0;1160.0;;10400 NW 80th Ct; Tamarac;FL 33321;;;
599000.0;3.0;2.0;2063.0;;5820 Australian Pine Dr; Tamarac;FL 33319;;;
198888.0;2.0;2.0;820.0;;9765 W Mcnab Rd #115; Tamarac;FL 33321;;;
184000.0;2.0;2.0;1180.0;;8351 Sands Point Blvd Unit A-104; Tamarac;FL 33321;;;
175000.0;2.0;2.0;1222.0;;10839 W Clairmont Cir #209; Tamarac;FL 33321;;;
520000.0;3.0;2.0;1654.0;;10007 NW 81st Ct; Tamarac;FL 33321;;;
420000.0;2.0;2.0;1774.0;;5202 NW 49th Ave; Tamarac;FL 33319;;;
328000.0;2.0;2.0;1896.0;;7715 Southampton Ter #301; Tamarac;FL 33321;;;
475000.0;3.0;2.5;1577.0;;8598 Lychee Dr #501; Tamarac;FL 33321;;;
139000.0;2.0;2.0;1160.0;;8120 SW 24th St #314; North Lauderdale;FL 33068;;;
399900.0;2.0;2.0;1579.0;;4945 NW 55th Ct; Tamarac;FL 33319;;;
337700.0;2.0;2.0;1520.0;;7647 Southampton Ter #209; Tamarac;FL 33321;;;
360000.0;3.0;2.5;1885.0;;33 S #33; Tamarac;FL 33319;;;
262500.0;2.0;2.0;1215.0;;7676 Trent Dr #308; Tamarac;FL 33321;;;
275000.0;2.0;2.0;1500.0;;7218 Fairfax Dr #110; Tamarac;FL 33321;;;
157000.0;2.0;2.0;1092.0;;6100 NW 44th St #307; Lauderhill;FL 33319;;;
199900.0;2.0;2.0;775.0;;6001 Shakerwood Cir #205; Tamarac;FL 33319;;;
169900.0;1.0;1.0;615.0;;5672 Rock Island Rd #248; Tamarac;FL 33319;;;
177000.0;2.0;2.0;1025.0;;8300 Sands Point Blvd Unit K304; Tamarac;FL 33321;;;
245000.0;2.0;2.0;1270.0;;4940 E Sabal Palm Blvd #110; Tamarac;FL 33319;;;Car-dependent
95000.0;1.0;2.0;750.0;;9091 Lime Bay Blvd #109; Tamarac;FL 33321;;;Car-dependent
210000.0;2.0;2.0;1023.0;;7950 W Mcnab Rd #102; Tamarac;FL 33321;;;Somewhat walkable
595000.0;3.0;2.0;1270.0;;1401 NW 45th St; Fort Lauderdale;FL 33309;7,607 sq ft lot;;Car-dependent
109000.0;1.0;1.0;660.0;;5800 NW 64th Ave #305; Fort Lauderdale;FL 33319;;;Car-dependent
325900.0;2.0;2.5;1224.0;;6018 Woodlands Blvd; Tamarac;FL 33319;;;
150000.0;2.0;2.0;1051.0;;8305 NW 61st St #203; Tamarac;FL 33321;;;
399999.0;2.0;2.0;1617.0;;4300 NW 44th St; Tamarac;FL 33319;;;
150000.0;1.0;1.5;750.0;;8001 Fairview Dr #107; Tamarac;FL 33321;;;
324900.0;3.0;3.0;1446.0;;7660 NW 79th Ave Unit N3; Tamarac;FL 33321;;;
330000.0;2.0;2.0;1186.0;;2038 Winners Cir #2038; North Lauderdale;FL 33068;;;
225000.0;2.0;2.0;1101.0;;7775 Southampton Ter #310; Tamarac;FL 33321;;;
349000.0;3.0;2.0;1792.0;;8751 Holly Ct #204; Tamarac;FL 33321;;;
353000.0;2.0;2.5;1110.0;;11010 Light House Ct #11010; Tamarac;FL 33321;;;
129900.0;2.0;2.0;827.0;;7154 Ashmont Cir #102; Tamarac;FL 33321;;;
350000.0;3.0;2.0;1488.0;;6160 NW 54th Ln; Tamarac;FL 33319;;;
425000.0;2.0;2.0;1318.0;;4407 NW 45th St; Tamarac;FL 33319;;;
225000.0;2.0;1.0;939.0;;9905 Westwood Dr Unit 12-3; Tamarac;FL 33321;;;
219500.0;2.0;2.0;1142.0;;7418 N Devon Dr #202; Tamarac;FL 33321;;;
79500.0;1.0;1.0;660.0;;6090 NW 64th Ave #307; Fort Lauderdale;FL 33319;;;
200000.0;2.0;2.5;1530.0;;8206 SW 23rd Ct Unit 22A; North Lauderdale;FL 33068;;;
629000.0;4.0;4.0;3182.0;;7802 NW 70th Ct; Tamarac;FL 33321;;;
525000.0;3.0;2.0;1884.0;;9105 NW 72nd Ct; Tamarac;FL 33321;;;
452998.0;3.0;2.0;1381.0;;8220 SW 4th Ct; North Lauderdale;FL 33068;;;
